"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.12.2025","56,84","56,99","57,43","56,35","20,37M","-0,26%"
"01.12.2025","56,99","57,09","57,94","56,68","29,25M","-1,14%"
"30.11.2025","57,65","57,09","57,77","57,36","4,21M","0,44%"
"29.11.2025","57,40","57,09","57,45","57,09","1,34M","0,14%"
"28.11.2025","57,32","55,36","57,87","55,01","37,13M","3,15%"
"27.11.2025","55,57","57,13","58,00","54,96","61,52M","-2,73%"
"26.11.2025","57,13","56,79","57,70","56,54","54,74M","0,58%"
"25.11.2025","56,80","55,15","57,50","54,15","59,64M","3,12%"
"24.11.2025","55,08","55,40","56,54","54,57","45,96M","0,68%"
"21.11.2025","54,71","55,37","55,50","53,53","52,61M","-1,17%"
"20.11.2025","55,36","52,54","55,77","52,49","58,30M","5,51%"
"19.11.2025","52,47","51,93","53,69","51,20","69,36M","1,23%"
"18.11.2025","51,83","50,09","52,19","49,42","43,49M","3,45%"
"17.11.2025","50,10","50,85","51,05","49,90","15,01M","-1,61%"
"16.11.2025","50,92","50,85","50,98","50,69","1,44M","0,24%"
"15.11.2025","50,80","50,85","50,89","50,65","727,21K","0,38%"
"14.11.2025","50,61","50,85","51,12","50,43","6,12M","-0,39%"
"13.11.2025","50,81","50,95","51,40","50,75","7,26M","-0,22%"
"12.11.2025","50,92","51,60","51,74","50,64","9,71M","-1,32%"
"11.11.2025","51,60","51,29","51,85","50,82","12,82M","0,60%"
"10.11.2025","51,29","51,91","52,64","51,11","25,99M","-1,89%"
"09.11.2025","52,28","51,91","52,34","51,96","5,17M","0,29%"
"08.11.2025","52,13","51,91","52,25","51,89","3,16M","0,64%"
"07.11.2025","51,80","50,32","52,29","50,32","41,02M","2,86%"
"06.11.2025","50,36","50,50","50,64","50,00","8,93M","-0,10%"
"05.11.2025","50,41","50,88","51,12","50,27","12,45M","-0,83%"
"03.11.2025","50,83","50,59","51,05","50,44","6,51M","0,77%"
"01.11.2025","50,44","50,34","50,74","50,26","4,19M","-0,02%"
"31.10.2025","50,45","51,18","51,42","50,12","14,73M","-1,46%"
"30.10.2025","51,20","51,20","51,58","50,44","27,91M","-0,04%"
"29.10.2025","51,22","51,20","51,74","50,88","13,50M","0,37%"
"28.10.2025","51,03","50,11","51,34","49,64","20,44M","1,86%"
"27.10.2025","50,10","51,46","51,50","50,10","16,20M","-2,76%"
"24.10.2025","51,52","52,32","53,07","51,22","20,49M","-1,47%"
"23.10.2025","52,29","51,99","52,53","51,16","30,33M","-2,04%"
"22.10.2025","53,38","55,14","55,76","52,82","32,87M","-3,16%"
"21.10.2025","55,12","57,65","57,65","53,60","56,76M","-4,41%"
"20.10.2025","57,66","57,61","58,50","57,04","48,19M","-0,28%"
"19.10.2025","57,82","57,61","58,50","57,51","19,94M","-1,16%"
"18.10.2025","58,50","57,61","58,50","57,30","12,10M","2,96%"
"17.10.2025","56,82","57,01","57,99","55,50","59,99M","0,50%"
"16.10.2025","56,54","50,16","56,54","49,73","71,43M","12,74%"
"15.10.2025","50,15","50,97","51,10","50,07","14,49M","-1,61%"
"14.10.2025","50,97","52,04","52,37","50,55","13,97M","-2,04%"
"13.10.2025","52,03","51,14","52,58","50,36","24,44M","1,09%"
"12.10.2025","51,47","51,14","51,55","51,24","1,99M","0,29%"
"11.10.2025","51,32","51,14","51,38","50,70","1,33M","0,25%"
"10.10.2025","51,19","52,51","52,58","50,82","20,82M","-2,29%"
"09.10.2025","52,39","50,99","52,48","49,57","40,86M","3,23%"
"08.10.2025","50,75","53,27","53,54","50,31","32,97M","-4,73%"
"07.10.2025","53,27","52,00","53,28","51,00","26,91M","1,87%"
"06.10.2025","52,29","51,05","52,39","50,07","38,99M","2,91%"
"05.10.2025","50,81","51,05","50,84","50,23","10,58M","0,63%"
"04.10.2025","50,49","51,05","51,06","50,07","7,10M","-1,10%"
"03.10.2025","51,05","52,60","52,88","51,00","28,13M","-2,37%"
"02.10.2025","52,29","53,43","53,47","52,06","22,78M","-1,78%"
"01.10.2025","53,24","54,41","54,87","52,96","27,12M","-2,02%"
"30.09.2025","54,34","54,96","55,10","54,07","17,67M","-0,62%"
"29.09.2025","54,68","55,84","56,60","54,00","31,10M","-1,50%"
"28.09.2025","55,51","55,84","55,94","55,45","1,77M","-0,56%"
"27.09.2025","55,82","55,84","56,09","55,78","728,48K","-0,07%"
"26.09.2025","55,86","55,84","56,27","55,03","22,61M","0,04%"
